Rank,Coffee,Roaster,Roastery Location,Flavour Match,Rating,Price/100g,Distance (km),Viability Score
1,Kenya Ruthaka Peaberry,Temple Coffee Roasters,United States,93%,95,$5.58,"12,400",0.81
2,Ulos Batak Sumatra,JBC Coffee Roasters,United States,86%,96,$5.57,"12,400",0.81
3,Mandheling Onan Ganjang,Kakalove Cafe,Taiwan,93%,94,$3.89,"11,800",0.8
4,Sustainable Harvest Homacho Waeno Nat...,Red E Café,United States,100%,93,$4.70,"12,400",0.8
5,Ethiopia Natural Guji Dasaya SP,Kakalove Cafe,Taiwan,86%,95,$4.96,"11,800",0.79
6,Yirgacheffe Gedeb G1 Natural,MJ Bear Coffee,Taiwan,86%,94,$4.96,"11,800",0.77
7,Ethiopia Natural Guji Uraga G1 Lot 20-05,Kakalove Cafe,Taiwan,86%,94,$5.31,"11,800",0.77
8,Kivu DR Congo,JBC Coffee Roasters,United States,86%,94,$4.97,"12,400",0.77
9,Shakiso Natural,JBC Coffee Roasters,United States,86%,94,$5.58,"12,400",0.77
10,Ethiopian Yirgacheffe Natural,Dragonfly Coffee Roasters,United States,86%,94,$5.88,"12,400",0.77
